antibody_1,antibody_1_control_status,antibody_1_epitope_id,antibody_1_epitope_start,antibody_1_epitope_end,antibody_1_binding_score,antibody_2,antibody_2_control_status,antibody_2_epitope_id,antibody_2_epitope_start,antibody_2_epitope_end,antibody_2_binding_score,epitope_overlap_aa,epitope_overlap_ratio,linear_epitope_gap_aa,clash_score_proxy,sandwich_compatibility_score,recommended_capture,recommended_detection,orientation_reason,data_status,claim_scope,pair_rank
7-H11-D3-2-C7,retrospective_positive_control,helix_surface_323_331,323,331,87.17,15-C12-H6,retrospective_positive_control,C_boundary_368_377,368,377,86.52,0,0.0,36,0.0,96.43,7-H11-D3-2-C7,15-C12-H6,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,1
7-H11-D3-2-C7,retrospective_positive_control,helix_surface_323_331,323,331,87.17,DN-e6e8d7351d0d,prospective_design,C_boundary_368_377,368,377,72.65,0,0.0,36,0.0,88.38,7-H11-D3-2-C7,DN-e6e8d7351d0d,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,2
7-H11-D3-2-C7,retrospective_positive_control,helix_surface_323_331,323,331,87.17,DN-c0d75e927e22,prospective_design,C_boundary_368_377,368,377,73.9,0,0.0,36,0.0,88.32,7-H11-D3-2-C7,DN-c0d75e927e22,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,3
7-H11-D3-2-C7,retrospective_positive_control,helix_surface_323_331,323,331,87.17,DN-77576c381425,prospective_design,C_boundary_368_377,368,377,72.55,0,0.0,36,0.0,88.26,7-H11-D3-2-C7,DN-77576c381425,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,4
7-H11-D3-2-C7,retrospective_positive_control,helix_surface_323_331,323,331,87.17,DN-2ea27b071345,prospective_design,C_boundary_368_377,368,377,73.91,0,0.0,36,0.0,88.09,7-H11-D3-2-C7,DN-2ea27b071345,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,5
7-H11-D3-2-C7,retrospective_positive_control,helix_surface_323_331,323,331,87.17,DN-a9cf24db579e,prospective_design,C_boundary_368_377,368,377,74.2,0,0.0,36,0.0,88.08,7-H11-D3-2-C7,DN-a9cf24db579e,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,6
7-H11-D3-2-C7,retrospective_positive_control,helix_surface_323_331,323,331,87.17,DN-9e5c3708b2c2,prospective_design,C_boundary_368_377,368,377,73.91,0,0.0,36,0.0,87.98,7-H11-D3-2-C7,DN-9e5c3708b2c2,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,7
7-H11-D3-2-C7,retrospective_positive_control,helix_surface_323_331,323,331,87.17,DN-80ac0338f825,prospective_design,C_boundary_368_377,368,377,75.79,0,0.0,36,0.0,87.88,7-H11-D3-2-C7,DN-80ac0338f825,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,8
7-H11-D3-2-C7,retrospective_positive_control,helix_surface_323_331,323,331,87.17,DN-8bd1ce369979,prospective_design,C_boundary_368_377,368,377,76.27,0,0.0,36,0.0,87.85,7-H11-D3-2-C7,DN-8bd1ce369979,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,9
7-H11-D3-2-C7,retrospective_positive_control,helix_surface_323_331,323,331,87.17,DN-8df6f8cc4294,prospective_design,C_boundary_368_377,368,377,82.81,0,0.0,36,0.0,87.85,7-H11-D3-2-C7,DN-8df6f8cc4294,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,10
7-H11-D3-2-C7,retrospective_positive_control,helix_surface_323_331,323,331,87.17,DN-ee56e463a133,prospective_design,C_boundary_368_377,368,377,80.71,0,0.0,36,0.0,87.62,7-H11-D3-2-C7,DN-ee56e463a133,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,11
15-C12-H6,retrospective_positive_control,C_boundary_368_377,368,377,86.52,DN-e6e8d7351d0d,prospective_design,C_boundary_368_377,368,377,72.65,10,1.0,0,99.05,62.93,15-C12-H6,DN-e6e8d7351d0d,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,12
15-C12-H6,retrospective_positive_control,C_boundary_368_377,368,377,86.52,DN-c0d75e927e22,prospective_design,C_boundary_368_377,368,377,73.9,10,1.0,0,99.05,62.87,15-C12-H6,DN-c0d75e927e22,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,13
15-C12-H6,retrospective_positive_control,C_boundary_368_377,368,377,86.52,DN-77576c381425,prospective_design,C_boundary_368_377,368,377,72.55,10,1.0,0,99.05,62.81,15-C12-H6,DN-77576c381425,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,14
15-C12-H6,retrospective_positive_control,C_boundary_368_377,368,377,86.52,DN-2ea27b071345,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,62.64,15-C12-H6,DN-2ea27b071345,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,15
15-C12-H6,retrospective_positive_control,C_boundary_368_377,368,377,86.52,DN-a9cf24db579e,prospective_design,C_boundary_368_377,368,377,74.2,10,1.0,0,99.05,62.62,15-C12-H6,DN-a9cf24db579e,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,16
15-C12-H6,retrospective_positive_control,C_boundary_368_377,368,377,86.52,DN-9e5c3708b2c2,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,62.53,15-C12-H6,DN-9e5c3708b2c2,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,17
15-C12-H6,retrospective_positive_control,C_boundary_368_377,368,377,86.52,DN-80ac0338f825,prospective_design,C_boundary_368_377,368,377,75.79,10,1.0,0,99.05,62.43,15-C12-H6,DN-80ac0338f825,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,18
15-C12-H6,retrospective_positive_control,C_boundary_368_377,368,377,86.52,DN-8bd1ce369979,prospective_design,C_boundary_368_377,368,377,76.27,10,1.0,0,99.05,62.4,15-C12-H6,DN-8bd1ce369979,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,19
15-C12-H6,retrospective_positive_control,C_boundary_368_377,368,377,86.52,DN-8df6f8cc4294,prospective_design,C_boundary_368_377,368,377,82.81,10,1.0,0,99.05,62.4,15-C12-H6,DN-8df6f8cc4294,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,20
15-C12-H6,retrospective_positive_control,C_boundary_368_377,368,377,86.52,DN-ee56e463a133,prospective_design,C_boundary_368_377,368,377,80.71,10,1.0,0,99.05,62.17,15-C12-H6,DN-ee56e463a133,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,retrospective_demo,21
DN-e6e8d7351d0d,prospective_design,C_boundary_368_377,368,377,72.65,DN-c0d75e927e22,prospective_design,C_boundary_368_377,368,377,73.9,10,1.0,0,99.05,54.81,DN-c0d75e927e22,DN-e6e8d7351d0d,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,22
DN-e6e8d7351d0d,prospective_design,C_boundary_368_377,368,377,72.65,DN-77576c381425,prospective_design,C_boundary_368_377,368,377,72.55,10,1.0,0,99.05,54.75,DN-e6e8d7351d0d,DN-77576c381425,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,23
DN-77576c381425,prospective_design,C_boundary_368_377,368,377,72.55,DN-c0d75e927e22,prospective_design,C_boundary_368_377,368,377,73.9,10,1.0,0,99.05,54.69,DN-c0d75e927e22,DN-77576c381425,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,24
DN-e6e8d7351d0d,prospective_design,C_boundary_368_377,368,377,72.65,DN-2ea27b071345,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,54.58,DN-2ea27b071345,DN-e6e8d7351d0d,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,25
DN-e6e8d7351d0d,prospective_design,C_boundary_368_377,368,377,72.65,DN-a9cf24db579e,prospective_design,C_boundary_368_377,368,377,74.2,10,1.0,0,99.05,54.57,DN-e6e8d7351d0d,DN-a9cf24db579e,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,26
DN-c0d75e927e22,prospective_design,C_boundary_368_377,368,377,73.9,DN-2ea27b071345,prospective_design,C_boundary_368_377,368,377,73.91,10,1.0,0,99.05,54.52,DN-c0d75e927e22,DN-2ea27b071345,"capture orientation prioritizes explicit retrospective evidence when present, then simulated developability; experimental label-site and orientation tests remain required",simulated,prospective_simulation,27
